"Stock Name","Last Price","Change %","Dividend Amount","Ex-Date","Record Date","Yield %"
"Britannia","5,387.00","(-1.63%)","75.00","08/05/2025","04/08/2025",""
"GAIL","171.15","","1.00","13/05/2025","04/08/2025","(+0.98%)"
"Deepak Nitrite","1,805.80","(-1.00%)","7.50","28/05/2025","04/08/2025",""
"Nexus Select","150.29","","0.28","26/07/2025","04/08/2025","(+2.34%)"
"Nexus Select","150.29","","0.01","25/07/2025","04/08/2025","(+2.34%)"
"Nexus Select","150.29","","1.30","24/07/2025","04/08/2025","(+2.34%)"
"Nexus Select","150.29","","0.64","23/07/2025","04/08/2025","(+2.34%)"
"Westlife Food","677.00","(-1.02%)","0.75","18/07/2025","04/08/2025",""
"Praj Industries","447.65","(-1.14%)","6.00","29/04/2025","04/08/2025",""
"Indus Infra Tru","110.52","(-0.39%)","0.43","01/08/2025","04/08/2025",""
"Indus Infra Tru","110.52","(-0.39%)","0.04","31/07/2025","04/08/2025",""
"Indus Infra Tru","110.52","(-0.39%)","2.78","30/07/2025","04/08/2025",""
"Greenply Ind","309.30","(-1.01%)","0.50","28/04/2025","04/08/2025",""
"KCP","198.53","(-2.34%)","0.25","28/05/2025","04/08/2025",""
"Fairchem Org.","855.80","(-1.93%)","7.50","27/05/2025","04/08/2025",""
"Gandhi Spl Tube","713.70","(-2.79%)","15.00","28/05/2025","04/08/2025",""
"Emkay Global","225.15","(-0.28%)","2.50","22/05/2025","04/08/2025",""
"Emkay Global","225.15","(-0.28%)","1.50","21/05/2025","04/08/2025",""
"KELTECH Energ","4,079.00","(-2.07%)","1.50","23/05/2025","04/08/2025",""
"Hyundai Motor","2,120.30","(-0.93%)","21.00","16/05/2025","05/08/2025",""
"Berger Paints","551.05","","3.80","14/05/2025","05/08/2025","(+0.93%)"
"Embassy Office","381.72","(-1.18%)","2.01","24/07/2025","05/08/2025",""
"Embassy Office","381.72","(-1.18%)","0.18","23/07/2025","05/08/2025",""
"Embassy Office","381.72","(-1.18%)","3.61","25/07/2025","05/08/2025",""
"Ipca Labs","1,386.80","(-0.34%)","2.00","29/05/2025","05/08/2025",""
"Chambal Fert","530.55","(-5.54%)","5.00","08/05/2025","05/08/2025",""
"DCM Shriram","1,352.30","","3.40","05/05/2025","05/08/2025","(+0.60%)"
"Va Tech Wabag","1,518.70","","4.00","21/05/2025","05/08/2025","(+0.50%)"
"Tips Music","587.95","","4.00","30/07/2025","05/08/2025","(+0.64%)"
"Share India","163.94","(-2.97%)","0.30","30/07/2025","05/08/2025",""
"Alembic","106.69","(-1.70%)","2.40","13/05/2025","05/08/2025",""
"Automotive Axle","1,657.90","(-1.74%)","30.50","20/05/2025","05/08/2025",""
"J G Chemicals","479.30","","1.00","27/06/2025","05/08/2025","(+1.19%)"
"Benares Hotels","9,250.00","(-0.79%)","25.00","28/04/2025","05/08/2025",""
"Century Enka","495.25","","10.00","06/05/2025","05/08/2025","(+0.49%)"
"AAYUSH WELLNESS","162.75","(-4.99%)","0.03","30/07/2025","05/08/2025",""
"Indag Rubber","127.95","(-4.66%)","1.50","22/04/2025","05/08/2025",""
"Shreyans Ind","229.07","","2.00","24/05/2025","05/08/2025","(+1.74%)"
"Shreyans Ind","229.07","","3.00","23/05/2025","05/08/2025","(+1.74%)"
"Jayshree Tea","109.47","(-1.59%)","0.50","19/05/2025","05/08/2025",""
"Prima Plastics","144.70","","2.00","27/05/2025","05/08/2025","(+1.51%)"
"The Grob Tea","1,092.00","","3.00","22/05/2025","05/08/2025","(+0.21%)"
"Coal India","379.70","","5.50","31/07/2025","06/08/2025","(+0.04%)"
"Dr Lal PathLab","3,190.30","(-0.71%)","6.00","31/07/2025","06/08/2025",""
"Ramco Cements","1,071.80","(-5.73%)","2.00","22/05/2025","06/08/2025",""
"Brookfield REIT","313.94","(-1.69%)","0.02","03/08/2025","06/08/2025",""
"Brookfield REIT","313.94","(-1.69%)","0.63","02/08/2025","06/08/2025",""
"Brookfield REIT","313.94","(-1.69%)","2.71","01/08/2025","06/08/2025",""
"Brookfield REIT","313.94","(-1.69%)","1.89","31/07/2025","06/08/2025",""
"Blue Dart","5,804.50","(-0.06%)","25.00","26/05/2025","06/08/2025",""
"GE Shipping","930.85","(-0.97%)","7.20","31/07/2025","06/08/2025",""
"Anup Eng","2,310.20","(-1.89%)","17.00","13/05/2025","06/08/2025",""
"Grauer and Weil","96.35","","0.50","26/05/2025","06/08/2025","(+1.47%)"
"Kirloskar Ind","4,147.70","(-0.31%)","13.00","20/05/2025","06/08/2025",""
"BOMDYEING","159.56","(-2.78%)","1.20","05/05/2025","06/08/2025",""
"ADF Foods","230.78","","0.60","14/05/2025","06/08/2025","(+1.09%)"
"Ramcoind","289.90","(-2.54%)","1.00","23/05/2025","06/08/2025",""
"Rajratan Global","340.15","(-2.77%)","2.00","21/04/2025","06/08/2025",""
"Hester Bio","1,951.60","(-2.92%)","7.00","09/05/2025","06/08/2025",""
"AVT Natural","70.60","","0.40","28/05/2025","06/08/2025","(+1.58%)"
"Fermenta Bio","339.35","(-1.85%)","2.50","28/05/2025","06/08/2025",""
"Kriti Nutrients","100.32","(-2.56%)","0.30","22/05/2025","06/08/2025",""
"EASTINDIA","128.55","","1.00","31/07/2025","06/08/2025","(+5.00%)"
"Mercury Labs","880.00","","3.50","14/05/2025","06/08/2025","(+3.17%)"
"DMR Hydroengine","140.25","(-4.59%)","0.13","14/07/2025","06/08/2025",""
"Phoenix Oversea","22.70","(-0.44%)","0.60","15/05/2025","06/08/2025",""
"PI Industries","3,919.10","(-2.60%)","10.00","19/05/2025","07/08/2025",""
"Linde India","6,375.50","(-2.41%)","7.50","24/05/2025","07/08/2025",""
