"Stock Name","lhsGrayCard_web_values__DQOxi","lhsGrayCard_web_redtext__dd7oX","lhsGrayCard_web_values__DQOxi 2","lhsGrayCard_web_values__DQOxi 3","lhsGrayCard_web_values__DQOxi 4","lhsGrayCard_web_greentext__zbrAw"
"Jio Financial","321.15","(-1.34%)","0.50","17/04/2025","11/08/2025",""
"Castrol","213.03","(-0.78%)","3.50","07/07/2025","11/08/2025",""
"Akzo Nobel","3,644.60","","156.00","04/08/2025","11/08/2025","(+0.54%)"
"KPIGREEN","506.45","(-1.23%)","0.20","31/07/2025","11/08/2025",""
"Indo Count","233.40","(-3.27%)","2.00","30/05/2025","11/08/2025",""
"Kalyani Steels","896.20","(-2.06%)","10.00","05/05/2025","11/08/2025",""
"Globus Spirits","1,162.50","(-0.90%)","2.76","20/05/2025","11/08/2025",""
"K.P. Energy","443.65","(-3.37%)","0.20","31/07/2025","11/08/2025",""
"Capital Infra T","79.37","","-","01/08/2025","11/08/2025","(+0.48%)"
"Rashi Periphera","280.30","(-2.04%)","2.00","23/05/2025","11/08/2025",""
"GPT Infra","124.02","(-1.80%)","1.00","04/08/2025","11/08/2025",""
"Starteck Financ","329.45","","0.25","27/05/2025","11/08/2025","(+4.22%)"
"Neelamalai Agro","3,669.95","","30.00","30/05/2025","11/08/2025","(+4.53%)"
"Tainwala Chem","224.59","(-3.54%)","3.00","01/08/2025","11/08/2025",""
"Shri Dinesh Mil","292.00","(-0.85%)","2.00","30/05/2025","11/08/2025",""
"ICICI Bank","1,435.90","(-0.31%)","11.00","21/04/2025","12/08/2025",""
"Grasim","2,691.60","(-1.90%)","10.00","22/05/2025","12/08/2025",""
"RITES","247.05","(-1.53%)","1.30","06/08/2025","12/08/2025",""
"AFL","512.55","(-1.98%)","1.60","19/05/2025","12/08/2025",""
"HG Infra Engg","992.70","","2.00","21/05/2025","12/08/2025","(+2.87%)"
"India Pesticide","226.83","","0.75","26/05/2025","12/08/2025","(+1.62%)"
"Axtel Ind","470.45","","6.00","16/07/2025","12/08/2025","(+1.27%)"
"NGL Fine Chem","1,204.60","(-2.02%)","1.75","22/05/2025","12/08/2025",""
